date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:13:46	72/72	---M--	200	added ('OK')	text/plain	etag:%225eb498d8-48%22	https://bchiang7.github.io/robots.txt		(from )
01:13:46	34309/34309	---M-Z	200	added ('OK')	text/html	etag:W/%225e237c7a-8605%22	https://bchiang7.github.io/v2/	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/index.html	(from )
01:13:46	14/-1	---M--	308	error ('Permanent%20Redirect')	text/plain		http://brittanychiang.com/v2/img/logo-black.png	C:/My%20Web%20Sites/my_portfolio/brittanychiang.com/v2/img/logo-black.0.delayed	(from https://bchiang7.github.io/v2/)
01:13:47	4712/4712	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2205e3001e58b767f88901e5723f0ba0de%22	https://brittanychiang.com/v2/img/logo-black.png	C:/My%20Web%20Sites/my_portfolio/brittanychiang.com/v2/img/logo-black.1.delayed	(from https://bchiang7.github.io/v2/)
01:13:47	14/-1	---M--	308	error ('Permanent%20Redirect')	text/plain		http://brittanychiang.com/v2/img/og.jpg	C:/My%20Web%20Sites/my_portfolio/brittanychiang.com/v2/img/og.2.delayed	(from https://bchiang7.github.io/v2/)
01:13:47	4712/4712	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2205e3001e58b767f88901e5723f0ba0de%22	https://brittanychiang.com/v2/img/og.jpg	C:/My%20Web%20Sites/my_portfolio/brittanychiang.com/v2/img/og.jpg	(from https://bchiang7.github.io/v2/)
01:13:48	2196/2196	---M-Z	200	added ('OK')	text/css	etag:%225eb03f2b-894%22	https://cdnjs.cloudflare.com/ajax/libs/normalize/4.2.0/normalize.min.css	C:/My%20Web%20Sites/my_portfolio/cdnjs.cloudflare.com/ajax/libs/normalize/4.2.0/normalize.min.css	(from https://bchiang7.github.io/v2/)
01:13:48	48993/48993	---M-Z	200	added ('OK')	text/css	etag:W/%225e237c75-bf61%22	https://bchiang7.github.io/v2/css/main.css	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/css/main.css	(from https://bchiang7.github.io/v2/)
01:13:48	3477/3477	---M--	200	added ('OK')	image/png	etag:%225e237c75-d95%22	https://bchiang7.github.io/v2/img/logo-white.png	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/img/logo-white.png	(from https://bchiang7.github.io/v2/)
01:13:49	26373/26373	---M--	200	added ('OK')	image/jpeg	etag:%225e237c75-6705%22	https://bchiang7.github.io/v2/img/headshot.jpg	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/img/headshot.jpg	(from https://bchiang7.github.io/v2/)
01:13:49	226681/226681	---M--	200	added ('OK')	image/png	etag:%225e237c75-37579%22	https://bchiang7.github.io/v2/img/icons/sketch.png	C:/My%20Web%20Sites/my_portfolio/bchiang7.github.io/v2/img/icons/sketch.png	(from https://bchiang7.github.io/v2/)
